freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.466e+01,3.288e+02,3.113e+02,6.748e+02
1.6,3.360e+01,1.981e+02,2.149e+02,4.466e+02
3.2,1.757e+01,3.546e+01,5.176e+01,1.048e+02
4.8,1.740e+01,4.406e+02,5.145e+01,5.095e+02
6.4,1.721e+01,1.423e+03,5.558e+01,1.496e+03
8.0,1.700e+01,2.403e+03,5.752e+01,2.478e+03
9.6,1.745e+01,3.588e+03,5.859e+01,3.664e+03
11.2,1.780e+01,4.998e+03,7.408e+01,5.090e+03
12.8,2.023e+01,6.680e+03,9.988e+01,6.800e+03
14.3,1.861e+01,9.061e+03,1.429e+02,9.222e+03
15.9,1.875e+01,1.212e+04,2.224e+02,1.236e+04
17.5,2.336e+01,1.584e+04,3.670e+02,1.623e+04
19.1,2.852e+01,2.048e+04,5.835e+02,2.109e+04
20.7,3.310e+01,2.617e+04,9.675e+02,2.717e+04
22.3,8.810e+01,3.452e+04,1.797e+03,3.640e+04
23.9,4.319e+02,4.808e+04,3.237e+03,5.175e+04
25.5,1.288e+03,6.806e+04,6.236e+03,7.558e+04
27.1,2.356e+03,9.359e+04,1.362e+04,1.096e+05
28.7,2.732e+03,1.069e+05,2.084e+04,1.305e+05
30.3,2.855e+03,1.152e+05,2.464e+04,1.427e+05
31.9,3.537e+03,1.348e+05,3.026e+04,1.686e+05
33.5,4.669e+03,1.723e+05,4.620e+04,2.232e+05
35.1,5.847e+03,2.673e+05,8.982e+04,3.630e+05
36.7,1.068e+04,5.565e+05,2.444e+05,8.116e+05
38.3,2.088e+04,9.386e+05,6.104e+05,1.570e+06
39.8,2.028e+04,8.278e+05,9.810e+05,1.829e+06
41.4,2.725e+04,4.606e+05,9.378e+05,1.426e+06
43.0,5.956e+04,2.491e+05,6.035e+05,9.122e+05
44.6,8.496e+04,1.585e+05,3.999e+05,6.434e+05
46.2,9.894e+04,1.050e+05,3.301e+05,5.341e+05
47.8,1.075e+05,6.834e+04,3.399e+05,5.157e+05
49.4,1.162e+05,3.518e+04,3.958e+05,5.472e+05
51.0,1.239e+05,1.821e+04,3.871e+05,5.291e+05
52.6,6.614e+04,4.330e+04,3.612e+05,4.707e+05
54.2,3.582e+04,7.019e+04,3.913e+05,4.973e+05
55.8,2.575e+04,7.983e+04,3.985e+05,5.041e+05
57.4,1.821e+04,8.385e+04,3.869e+05,4.890e+05
59.0,9.495e+03,7.000e+04,2.917e+05,3.712e+05
60.6,4.186e+03,4.745e+04,1.797e+05,2.313e+05
62.2,2.205e+03,3.082e+04,1.054e+05,1.384e+05
63.8,2.013e+03,1.982e+04,6.311e+04,8.494e+04
65.4,3.983e+03,1.467e+04,4.682e+04,6.547e+04
66.9,7.687e+03,1.877e+04,4.604e+04,7.249e+04
68.5,1.133e+04,3.727e+04,6.277e+04,1.114e+05
70.1,1.602e+04,8.048e+04,1.063e+05,2.028e+05
71.7,2.067e+04,1.425e+05,1.629e+05,3.261e+05
73.3,2.048e+04,1.741e+05,1.810e+05,3.756e+05
74.9,1.659e+04,1.695e+05,1.668e+05,3.529e+05
76.5,1.137e+04,1.410e+05,1.367e+05,2.891e+05
78.1,1.055e+04,1.095e+05,1.052e+05,2.252e+05
79.7,1.728e+04,9.239e+04,8.278e+04,1.924e+05
81.3,2.731e+04,8.249e+04,6.767e+04,1.775e+05
82.9,1.546e+04,6.645e+04,5.612e+04,1.380e+05
84.5,7.418e+03,5.401e+04,4.799e+04,1.094e+05
86.1,5.203e+03,4.569e+04,4.070e+04,9.160e+04
87.7,3.996e+03,3.926e+04,3.464e+04,7.790e+04
89.3,4.063e+03,3.421e+04,2.969e+04,6.796e+04
90.9,4.720e+03,3.044e+04,2.651e+04,6.166e+04
92.4,5.053e+03,2.869e+04,2.484e+04,5.859e+04
94.0,4.881e+03,2.937e+04,2.660e+04,6.086e+04
95.6,4.281e+03,2.947e+04,3.124e+04,6.498e+04
97.2,3.487e+03,2.729e+04,3.262e+04,6.339e+04
98.8,2.381e+03,2.355e+04,2.843e+04,5.437e+04
100.4,1.573e+03,2.031e+04,2.314e+04,4.503e+04
102.0,1.105e+03,1.794e+04,2.011e+04,3.916e+04
103.6,1.109e+03,1.608e+04,1.859e+04,3.578e+04
105.2,1.332e+03,1.490e+04,1.815e+04,3.438e+04
106.8,1.776e+03,1.381e+04,1.881e+04,3.440e+04
108.4,2.171e+03,1.258e+04,2.037e+04,3.512e+04
110.0,2.724e+03,1.168e+04,2.432e+04,3.872e+04
111.6,3.268e+03,1.107e+04,3.196e+04,4.630e+04
113.2,3.736e+03,1.061e+04,4.327e+04,5.761e+04
114.8,4.239e+03,1.043e+04,5.213e+04,6.680e+04
116.4,4.471e+03,9.929e+03,4.734e+04,6.174e+04
118.0,3.979e+03,8.482e+03,3.307e+04,4.553e+04
119.5,2.305e+03,6.611e+03,2.721e+04,3.612e+04
121.1,1.289e+03,4.895e+03,2.002e+04,2.620e+04
122.7,1.227e+03,4.302e+03,1.431e+04,1.984e+04
124.3,1.562e+03,4.337e+03,9.189e+03,1.509e+04
125.9,2.235e+03,4.414e+03,6.095e+03,1.274e+04
127.5,2.977e+03,4.518e+03,4.360e+03,1.186e+04
129.1,3.420e+03,4.577e+03,2.907e+03,1.090e+04
130.7,3.500e+03,4.528e+03,2.344e+03,1.037e+04
132.3,3.560e+03,4.014e+03,2.058e+03,9.632e+03
133.9,3.599e+03,2.004e+03,1.913e+03,7.515e+03
135.5,4.039e+03,1.311e+03,1.903e+03,7.252e+03
137.1,3.590e+03,1.335e+03,1.798e+03,6.723e+03
138.7,3.113e+03,1.381e+03,1.671e+03,6.164e+03
140.3,2.988e+03,1.506e+03,1.762e+03,6.256e+03
141.9,2.932e+03,1.710e+03,1.753e+03,6.395e+03
143.5,2.788e+03,1.710e+03,1.546e+03,6.043e+03
145.0,2.631e+03,1.600e+03,1.384e+03,5.614e+03
146.6,2.833e+03,1.617e+03,1.563e+03,6.013e+03
148.2,3.289e+03,1.707e+03,1.918e+03,6.914e+03
149.8,3.858e+03,1.856e+03,2.223e+03,7.937e+03
151.4,4.070e+03,1.846e+03,2.357e+03,8.273e+03
153.0,5.062e+03,2.064e+03,2.512e+03,9.639e+03
154.6,5.311e+03,1.912e+03,2.696e+03,9.918e+03
156.2,1.511e+03,4.713e+02,1.534e+03,3.516e+03
157.8,2.738e+02,1.502e+02,1.260e+03,1.684e+03
159.4,2.942e+02,1.533e+02,1.554e+03,2.002e+03
161.0,4.059e+02,1.277e+02,1.599e+03,2.133e+03
162.6,5.122e+02,1.072e+02,1.571e+03,2.191e+03
164.2,7.284e+02,9.611e+01,1.428e+03,2.252e+03
165.8,8.674e+02,9.817e+01,1.185e+03,2.150e+03
167.4,1.086e+03,9.267e+01,1.054e+03,2.233e+03
169.0,1.375e+03,8.985e+01,1.043e+03,2.508e+03
170.6,1.596e+03,1.076e+02,1.003e+03,2.707e+03
172.1,1.789e+03,1.206e+02,9.956e+02,2.905e+03
173.7,2.091e+03,1.093e+02,1.071e+03,3.271e+03
175.3,2.353e+03,9.745e+01,1.147e+03,3.597e+03
176.9,2.745e+03,8.614e+01,1.387e+03,4.218e+03
178.5,3.450e+03,7.928e+01,1.797e+03,5.327e+03
180.1,4.371e+03,6.795e+01,2.243e+03,6.682e+03
181.7,5.484e+03,8.104e+01,2.672e+03,8.237e+03
183.3,6.713e+03,1.092e+02,3.237e+03,1.006e+04
184.9,7.298e+03,1.353e+02,3.447e+03,1.088e+04
186.5,7.192e+03,1.612e+02,3.234e+03,1.059e+04
188.1,6.271e+03,2.104e+02,2.696e+03,9.178e+03
189.7,4.850e+03,2.561e+02,1.990e+03,7.096e+03
191.3,3.728e+03,2.730e+02,1.520e+03,5.521e+03
192.9,2.851e+03,2.734e+02,1.135e+03,4.260e+03
194.5,2.182e+03,2.752e+02,8.731e+02,3.331e+03
196.1,1.648e+03,2.333e+02,7.689e+02,2.650e+03
197.6,1.200e+03,1.988e+02,7.637e+02,2.163e+03
199.2,9.187e+02,1.556e+02,1.116e+03,2.190e+03
